	Bayesian Skyline: Clade1_GTR_strict_BICEPS_invariants - Copy.log			
time	date	datetime	milliseconds	mean	median	upper	lower
2014.696	2014-09-10	2014-09-10T11:57:36	1410350256215	194.86476957523777	179.14534257848933	381.3294323130403	95.80552673139877
2014.448101843988	2014-06-12	2014-06-12T00:22:19	1402532539968	194.86476957523777	179.14534257848933	381.3294323130403	95.80552673139877
2014.2002036879762	2014-03-13	2014-03-13T12:47:03	1394714823720	194.86476957523777	179.14534257848933	381.3294323130403	95.80552673139877
2013.9523055319644	2013-12-13	2013-12-13T01:11:47	1386897107472	194.86476957523777	179.14534257848933	381.3294323130403	95.80552673139877
2013.7044073759525	2013-09-13	2013-09-13T13:36:31	1379079391224	194.86476957523777	179.14534257848933	381.3294323130403	95.80552673139877
2013.4565092199407	2013-06-15	2013-06-15T02:01:14	1371261674976	194.86476957523777	179.14534257848933	381.3294323130403	95.80552673139877
2013.2086110639289	2013-03-16	2013-03-16T14:25:58	1363443958728	194.86476957523777	179.14534257848933	381.3294323130403	95.80552673139877
2012.960712907917	2012-12-15	2012-12-15T02:50:42	1355539842480	194.86476957523777	179.14534257848933	381.3294323130403	95.80552673139877
2012.7128147519052	2012-09-15	2012-09-15T15:15:26	1347722126232	194.86476957523777	179.14534257848933	381.3294323130403	95.80552673139877
2012.4649165958933	2012-06-17	2012-06-17T03:40:09	1339904409984	194.86476957523777	179.14534257848933	381.3294323130403	95.80552673139877
2012.2170184398815	2012-03-18	2012-03-18T16:04:53	1332086693736	194.86476957523777	179.14534257848933	381.3294323130403	95.80552673139877
2011.9691202838696	2011-12-19	2011-12-19T04:29:37	1324268977488	194.86476957523777	179.14534257848933	381.3294323130403	95.80552673139877
2011.7212221278578	2011-09-19	2011-09-19T16:54:21	1316451261240	194.86476957523777	179.14534257848933	381.3294323130403	95.80552673139877
2011.473323971846	2011-06-21	2011-06-21T05:19:04	1308633544992	194.86476957523777	179.14534257848933	381.3294323130403	95.80552673139877
2011.2254258158341	2011-03-22	2011-03-22T17:43:48	1300815828744	194.86476957523777	179.14534257848933	381.3294323130403	95.80552673139877
2010.9775276598223	2010-12-22	2010-12-22T06:08:32	1292998112496	194.86476957523777	179.14534257848933	381.3294323130403	95.80552673139877
2010.7296295038104	2010-09-22	2010-09-22T18:33:16	1285180396248	194.86476957523777	179.14534257848933	381.3294323130403	95.80552673139877
2010.4817313477986	2010-06-24	2010-06-24T06:58:00	1277362680000	194.86476957523777	179.14534257848933	381.3294323130403	95.80552673139877
2010.2338331917867	2010-03-25	2010-03-25T19:22:43	1269544963752	194.86476957523777	179.14534257848933	381.3294323130403	95.80552673139877
2009.985935035775	2009-12-25	2009-12-25T07:47:27	1261727247504	194.86476957523777	179.14534257848933	381.3294323130403	95.80552673139877
2009.738036879763	2009-09-25	2009-09-25T20:12:11	1253909531256	194.86476957523777	179.14534257848933	381.3294323130403	95.80552673139877
2009.4901387237512	2009-06-27	2009-06-27T08:36:55	1246091815008	194.86476957523777	179.14534257848933	381.3294323130403	95.80552673139877
2009.2422405677394	2009-03-28	2009-03-28T21:01:38	1238274098760	194.86476957523777	179.14534257848933	381.3294323130403	95.80552673139877
2008.9943424117275	2008-12-27	2008-12-27T09:26:22	1230369982512	194.86476957523777	179.14534257848933	381.3294323130403	95.80552673139877
2008.7464442557157	2008-09-27	2008-09-27T21:51:06	1222552266264	194.86476957523777	179.14534257848933	381.3294323130403	95.80552673139877
2008.4985460997038	2008-06-29	2008-06-29T10:15:50	1214734550016	194.86476957523777	179.14534257848933	381.3294323130403	95.80552673139877
2008.250647943692	2008-03-30	2008-03-30T22:40:33	1206916833768	194.86476957523777	179.14534257848933	381.3294323130403	95.80552673139877
2008.0027497876802	2007-12-31	2007-12-31T11:05:17	1199099117520	194.86476957523777	179.14534257848933	381.3294323130403	95.80552673139877
2007.7548516316683	2007-10-01	2007-10-01T23:30:01	1191281401272	194.86476957523777	179.14534257848933	381.3294323130403	95.80552673139877
2007.5069534756565	2007-07-03	2007-07-03T11:54:45	1183463685024	194.86476957523777	179.14534257848933	381.3294323130403	95.80552673139877
2007.2590553196446	2007-04-04	2007-04-04T00:19:28	1175645968776	194.86476957523777	179.14534257848933	381.3294323130403	95.80552673139877
2007.0111571636328	2007-01-03	2007-01-03T12:44:12	1167828252528	194.86476957523777	179.14534257848933	381.3294323130403	95.80552673139877
2006.763259007621	2006-10-05	2006-10-05T01:08:56	1160010536280	194.86476957523777	179.14534257848933	381.3294323130403	95.80552673139877
2006.515360851609	2006-07-06	2006-07-06T13:33:40	1152192820032	194.86476957523777	179.14534257848933	381.3294323130403	95.80552673139877
2006.2674626955973	2006-04-07	2006-04-07T01:58:23	1144375103784	194.88455248493838	179.14534257848933	381.3294323130403	96.18363729567693
2006.0195645395854	2006-01-06	2006-01-06T14:23:07	1136557387536	194.96500944085477	179.2872902760234	381.3294323130403	96.18363729567693
2005.7716663835736	2005-10-08	2005-10-08T02:47:51	1128739671288	195.42399087405045	179.67273627451098	382.52054565952096	96.247796382763
2005.5237682275617	2005-07-09	2005-07-09T15:12:35	1120921955040	196.61116088972688	181.64010705236214	389.4845898582561	95.73950587656702
2005.27587007155	2005-04-10	2005-04-10T03:37:18	1113104238792	197.4525128998142	182.96273526019297	396.35464510430586	85.85351728069658
2005.027971915538	2005-01-09	2005-01-09T16:02:02	1105286522544	194.32090414785685	179.14534257848933	398.2959705971374	77.20873662560278
2004.7800737595262	2004-10-10	2004-10-10T04:26:46	1097382406296	189.0091670144574	172.27148034536734	401.6086955328592	72.85664045667319
2004.5321756035144	2004-07-11	2004-07-11T16:51:30	1089564690055	182.03559235177477	164.50584942042437	397.9421067267529	70.67322281534629
2004.2842774475025	2004-04-12	2004-04-12T05:16:13	1081746973807	179.3989154290541	161.7874687077632	390.4603726824478	72.71160219487801
2004.0363792914907	2004-01-12	2004-01-12T17:40:57	1073929257559	180.99534941502597	163.79114211349915	388.47160640480706	75.41370473765002
2003.7884811354788	2003-10-14	2003-10-14T06:05:41	1066111541311	183.899567339017	166.63813452754536	393.11641689012697	78.85113724143456
2003.540582979467	2003-07-15	2003-07-15T18:30:25	1058293825063	184.78535060013806	168.49767323971804	393.11641689012697	77.16073464999207
2003.2926848234551	2003-04-16	2003-04-16T06:55:08	1050476108815	182.93270284248814	165.97489196461223	392.92661011713164	75.12117754179641
2003.0447866674433	2003-01-15	2003-01-15T19:19:52	1042658392567	178.24779925945123	160.95050529237295	391.3152356803593	72.94943211876631
2002.7968885114315	2002-10-17	2002-10-17T07:44:36	1034840676319	173.73672743982937	155.94930473901198	387.4782346457639	72.3109066426239
2002.5489903554196	2002-07-18	2002-07-18T20:09:20	1027022960071	167.41473167581356	149.7893796882761	375.38852817602844	70.04750157050168
2002.3010921994078	2002-04-19	2002-04-19T08:34:03	1019205243823	162.28679308135835	146.07729083898343	362.7661739028461	63.70576755955153
2002.053194043396	2002-01-18	2002-01-18T20:58:47	1011387527575	155.95872455038665	140.1183958681631	352.0049635144018	57.1650356688248
2001.805295887384	2001-10-20	2001-10-20T09:23:31	1003569811327	147.3185063184973	130.85514091034548	336.33219081330344	52.83864702641958
2001.5573977313722	2001-07-21	2001-07-21T21:48:15	995752095079	136.96104820702732	120.2832655308881	317.19505038546623	49.31095365950291
2001.3094995753604	2001-04-22	2001-04-22T10:12:58	987934378831	127.24386339301566	111.03999384725336	301.29857390541144	46.15330561850235
2001.0616014193486	2001-01-21	2001-01-21T22:37:42	980116662583	119.4332383589925	104.3909825916844	283.0254597251033	43.31596307691979
2000.8137032633367	2000-10-22	2000-10-22T11:02:26	972212546335	111.58514630125246	97.83328809713488	264.8747389471515	37.94529989126221
2000.5658051073249	2000-07-23	2000-07-23T23:27:10	964394830087	105.16216775856583	91.56952470842592	253.89868963767452	34.17520674604106
2000.317906951313	2000-04-24	2000-04-24T11:51:53	956577113839	97.16208846526642	84.56835948829878	237.40284634633596	32.5390814145874
2000.0700087953012	2000-01-25	2000-01-25T00:16:37	948759397591	90.04815815737986	77.32816543335778	228.9492499340986	27.75234059370605
1999.8221106392893	1999-10-26	1999-10-26T12:41:21	940941681343	82.83759037528984	70.82011775847165	211.36253539215883	23.696513843440165
1999.5742124832775	1999-07-28	1999-07-28T01:06:05	933123965095	75.44026833729247	65.35881501952507	192.0848678676728	20.644404631302816
1999.3263143272657	1999-04-28	1999-04-28T13:30:48	925306248847	68.9201104856852	60.089632941657705	176.73901421036794	17.77567735976353
1999.0784161712538	1999-01-28	1999-01-28T01:55:32	917488532599	63.22294270430084	54.57887896557986	166.41337766199763	16.677026212677493
1998.830518015242	1998-10-29	1998-10-29T14:20:16	909670816353	57.536072749227664	48.24709312891694	154.04915246637339	14.64831789299662
1998.5826198592301	1998-07-31	1998-07-31T02:45:00	901853100105	51.88386958877489	41.665927732696474	142.3295642367976	13.088806122592331
1998.3347217032183	1998-05-01	1998-05-01T15:09:43	894035383857	46.55802922250204	36.857196703526405	133.25930903195334	12.129961349797846
1998.0868235472064	1998-01-31	1998-01-31T03:34:27	886217667609	41.473422821151146	33.07132038413637	123.52805249980787	11.611508579724642
1997.8389253911946	1997-11-01	1997-11-01T15:59:11	878399951361	37.58532653327488	30.116775055718886	109.39230414178465	11.00947815936711
1997.5910272351828	1997-08-03	1997-08-03T04:23:55	870582235113	34.06442190221194	27.552772732650755	99.16280260177089	10.399451639192755
1997.343129079171	1997-05-04	1997-05-04T16:48:38	862764518865	31.30387965005345	25.288534549607217	86.13733933308701	9.90759488589918
1997.095230923159	1997-02-03	1997-02-03T05:13:22	854946802617	29.020572966284895	23.5041821344684	80.27540777473392	9.344514842214764
1996.8473327671472	1996-11-03	1996-11-03T17:38:06	847042686369	27.21803840826476	22.239578042540867	75.18544364598043	8.807213919253494
1996.5994346111354	1996-08-05	1996-08-05T06:02:50	839224970121	25.357888042250334	21.286047104475458	66.69890174009996	8.408872372525414
1996.3515364551236	1996-05-06	1996-05-06T18:27:33	831407253873	24.077182329220534	20.569629602035626	61.36540245313677	7.913480792694897
